Subjectindex	Session	Fixation.Onset	Text1.Onset	Blank.Onset	Audio.Onset	Text2.Onset	If.Response	Corre.Response	Response.Onset
1	1	1000	3000	6000	TRUE	14000	FALSE	FALSE	14000
1	1	19000	21000	24000	TRUE	33500	TRUE	TRUE	36115
1	1	38500	41500	43500	FALSE	51500	TRUE	TRUE	52992
1	1	56500	58500	61500	FALSE	71000	TRUE	TRUE	72721
1	1	76000	78000	81000	FALSE	88000	TRUE	TRUE	89839
1	1	93000	96000	98000	TRUE	107500	TRUE	TRUE	110111
1	1	112500	114500	117500	FALSE	123500	TRUE	TRUE	125355
1	1	128500	130500	133500	FALSE	140500	TRUE	TRUE	142464
1	1	145500	148500	150500	TRUE	158500	TRUE	TRUE	161109
1	1	163500	165500	168500	TRUE	174500	TRUE	TRUE	177102
1	1	179500	181500	184500	TRUE	194500	TRUE	TRUE	197000
1	1	199500	202500	204500	TRUE	213500	TRUE	TRUE	216132
1	1	218500	220500	223500	FALSE	230000	TRUE	FALSE	231876
1	1	235000	238000	240000	TRUE	247500	TRUE	TRUE	250020
1	1	252500	255500	257500	TRUE	266500	TRUE	TRUE	269151
1	1	271500	273500	276500	TRUE	284000	TRUE	TRUE	286669
1	1	289000	292000	294000	TRUE	300500	TRUE	TRUE	303082
1	1	305500	308500	310500	TRUE	320000	TRUE	TRUE	322635
1	1	325000	327000	330000	TRUE	337000	TRUE	TRUE	339708
1	1	342000	345000	347000	FALSE	355000	FALSE	FALSE	355000
1	1	360000	362000	365000	TRUE	371000	TRUE	FALSE	373675
1	1	376000	378000	381000	TRUE	390000	TRUE	FALSE	392587
1	1	395000	397000	4.00E+05	FALSE	409000	TRUE	TRUE	410834
1	1	414000	417000	419000	FALSE	426500	TRUE	TRUE	428271
1	1	431500	433500	436500	TRUE	446500	FALSE	FALSE	446500
1	1	451500	454500	456500	FALSE	463000	TRUE	TRUE	464516
1	1	468000	470000	473000	FALSE	479000	TRUE	FALSE	480841
1	1	484000	487000	489000	FALSE	497000	TRUE	TRUE	498590
1	1	502000	504000	507000	TRUE	513000	TRUE	TRUE	515455
1	1	518000	520000	523000	TRUE	533000	TRUE	FALSE	535557
1	1	538000	541000	543000	TRUE	552500	FALSE	FALSE	552500
1	1	557500	560500	562500	FALSE	569000	TRUE	TRUE	570510
1	1	574000	577000	579000	TRUE	588000	TRUE	TRUE	590742
1	1	593000	595000	598000	FALSE	608000	TRUE	TRUE	609945
1	1	613000	615000	618000	FALSE	626500	TRUE	TRUE	628353
1	1	631500	634500	636500	FALSE	644000	TRUE	TRUE	645583
1	1	649000	652000	654000	TRUE	660500	TRUE	FALSE	663110
1	1	665500	667500	670500	TRUE	678000	TRUE	FALSE	680347
1	1	683000	685000	688000	TRUE	695500	TRUE	TRUE	698087
1	1	700500	703500	705500	TRUE	715500	TRUE	TRUE	718143
1	1	720500	723500	725500	FALSE	732000	TRUE	TRUE	733469
1	1	737000	739000	742000	FALSE	750000	TRUE	TRUE	752026
1	1	755000	758000	760000	FALSE	769000	TRUE	TRUE	770443
1	1	774000	777000	779000	TRUE	786000	TRUE	TRUE	788596
1	1	791000	793000	796000	TRUE	804000	TRUE	TRUE	806683
1	1	809000	812000	814000	FALSE	824000	TRUE	TRUE	825539
1	1	829000	832000	834000	TRUE	842500	TRUE	TRUE	845062
1	1	847500	849500	852500	FALSE	860500	TRUE	TRUE	862413
1	1	865500	867500	870500	TRUE	878000	FALSE	FALSE	878000
1	1	883000	886000	888000	FALSE	897000	TRUE	TRUE	898603
1	1	902000	904000	907000	FALSE	914000	TRUE	TRUE	915923
1	1	919000	921000	924000	TRUE	930500	TRUE	FALSE	933243
1	1	935500	937500	940500	FALSE	949000	TRUE	TRUE	950963
1	1	954000	956000	959000	FALSE	965000	TRUE	TRUE	966961
1	1	970000	972000	975000	FALSE	983500	FALSE	FALSE	983500
1	1	988500	990500	993500	FALSE	1.00E+06	TRUE	TRUE	1001961
1	1	1005000	1008000	1010000	FALSE	1016000	TRUE	TRUE	1017365
1	1	1021000	1023000	1026000	FALSE	1033000	TRUE	TRUE	1035051
1	1	1038000	1041000	1043000	FALSE	1049500	FALSE	FALSE	1049500
1	1	1054500	1056500	1059500	TRUE	1066500	TRUE	TRUE	1069128
1	1	1071500	1074500	1076500	FALSE	1086500	TRUE	TRUE	1087848
1	1	1091500	1094500	1096500	FALSE	1105500	FALSE	FALSE	1105500
1	1	1110500	1113500	1115500	FALSE	1121500	TRUE	TRUE	1123113
1	1	1126500	1129500	1131500	TRUE	1139000	TRUE	TRUE	1141747
1	1	1144000	1147000	1149000	TRUE	1158000	TRUE	FALSE	1160512
1	1	1163000	1165000	1168000	FALSE	1176500	TRUE	FALSE	1178434
1	1	1181500	1184500	1186500	TRUE	1192500	TRUE	FALSE	1195257
1	1	1197500	1200500	1202500	FALSE	1210000	TRUE	TRUE	1211614
1	1	1215000	1217000	1220000	FALSE	1228500	TRUE	TRUE	1230436
1	1	1233500	1236500	1238500	FALSE	1247000	TRUE	TRUE	1248446
1	1	1252000	1255000	1257000	TRUE	1265500	TRUE	FALSE	1268008
1	1	1270500	1272500	1275500	TRUE	1282000	TRUE	TRUE	1284664
1	1	1287000	1289000	1292000	FALSE	1302000	TRUE	FALSE	1303897
1	1	1307000	1310000	1312000	FALSE	1318000	TRUE	TRUE	1319654
1	1	1323000	1325000	1328000	TRUE	1337500	TRUE	FALSE	1340140
1	1	1342500	1344500	1347500	TRUE	1357500	TRUE	FALSE	1360092
1	1	1362500	1365500	1367500	FALSE	1375000	FALSE	FALSE	1375000
1	1	1380000	1383000	1385000	FALSE	1393000	FALSE	FALSE	1393000
1	1	1398000	1401000	1403000	TRUE	1413000	TRUE	TRUE	1415562
1	1	1418000	1420000	1423000	TRUE	1429000	FALSE	FALSE	1429000
1	1	1434000	1437000	1439000	TRUE	1446500	TRUE	FALSE	1449142
1	1	1451500	1453500	1456500	TRUE	1463000	TRUE	TRUE	1465564
1	1	1468000	1470000	1473000	TRUE	1482500	TRUE	FALSE	1485152
1	1	1487500	1490500	1492500	TRUE	1499500	TRUE	TRUE	1501974
1	1	1504500	1506500	1509500	FALSE	1518000	TRUE	TRUE	1519874
