id	Gender	Pre	Post		
1	Male	259.825	265.944		
2	Male	276.524	296.359		
3	Male	282.838	301.055		
4	Male	297.552	277.265		
5	Male	244.882	306.778		
6	Male	216.156	301.744		
7	Male	275.814	322.646		
8	Male	324.109	302.743		
9	Male	243.466	290.159		
10	Male	308.077	315.063		
11	Male	269.851	275.410		
12	Male	245.110	324.296		
13	Male	249.082	276.267		
14	Male	270.432	312.882		
15	Male	268.641	308.339		
16	Male	265.293	282.136		
17	Male	289.638	275.467		
18	Male	266.203	333.846		
19	Male	275.741	302.402		
20	Male	300.925	307.213		
21	Male	271.344	324.435		
22	Male	250.733	269.888		
23	Male	281.003	346.069		
24	Male	298.354	315.256		
25	Male	296.795	296.117		
26	Male	331.416	276.534		
27	Male	260.997	322.272		
28	Male	289.133	308.408		
29	Male	276.435	367.962		
30	Male	334.217	275.044		
31	Male	294.802	313.567		
32	Male	235.748	323.935		
33	Male	265.972	343.527		
34	Male	270.874	324.495		
35	Male	219.240	349.000		
36	Male	307.463	226.035		
37	Male	306.034	272.502		
38	Male	260.372	323.754		
39	Male	249.465	313.419		
40	Male	282.218	322.150		
41	Male	315.174	272.317		
42	Male	294.447	309.510		
43	Male	296.541	291.936		
44	Male	257.649	316.735		
45	Male	279.706	256.304		
46	Male	249.374	306.362		
47	Male	232.595	321.422		
48	Male	260.186	289.083		
49	Male	293.122	276.847		
50	Male	274.093	286.978		
51	Male	254.965	327.211		
52	Male	320.437	335.632		
53	Male	313.749	300.567		
54	Male	287.595	271.927		
55	Male	260.883	231.971		
56	Male	348.921	287.527		
57	Male	302.481	334.562		
58	Male	284.064	287.563		
59	Male	264.963	277.002		
60	Male	271.585	345.570		
61	Male	340.317	340.575		
62	Male	322.930	316.548		
63	Male	291.519	299.151		
64	Male	221.823	321.125		
65	Male	280.862	311.173		
66	Male	272.510	282.299		
67	Male	306.618	362.595		
68	Male	354.269	289.029		
69	Male	300.405	300.570		
70	Male	306.440	326.223		
71	Male	266.994	357.639		
72	Male	255.030	258.518		
73	Male	282.020	265.396		
74	Male	252.880	278.922		
75	Male	292.977	203.857		
76	Male	294.188	273.219		
77	Male	350.866	286.321		
78	Male	276.003	291.769		
79	Male	298.616	317.651		
80	Male	299.739	297.520		
81	Male	283.913	311.859		
82	Male	226.608	230.681		
83	Male	239.104	264.452		
84	Male	289.618	318.970		
85	Male	317.992	319.033		
86	Male	258.390	266.359		
87	Male	278.589	314.188		
88	Male	285.433	272.422		
89	Male	292.668	255.702		
90	Male	325.678	303.317		
91	Male	310.548	330.451		
92	Male	224.282	324.260		
93	Male	286.431	299.416		
94	Male	252.859	312.973		
95	Male	274.993	272.784		
96	Male	299.171	308.036		
97	Male	287.802	338.891		
98	Male	256.642	277.877		
99	Male	250.684	325.563		
100	Male	216.287	253.258		
101	Female	265.507	251.806		
102	Female	306.063	254.024		
103	Female	299.706	251.816		
104	Female	269.387	212.329		
105	Female	320.484	251.011		
106	Female	273.327	323.722		
107	Female	274.860	244.835		
108	Female	286.157	261.335		
109	Female	255.474	256.103		
110	Female	315.414	248.221		
111	Female	291.764	274.364		
112	Female	337.618	201.246		
113	Female	291.855	236.028		
114	Female	274.891	267.326		
115	Female	253.464	178.208		
116	Female	270.562	246.703		
117	Female	288.147	298.836		
118	Female	360.857	291.561		
119	Female	273.945	218.570		
120	Female	271.794	270.980		
121	Female	212.929	267.201		
122	Female	261.725	202.426		
123	Female	234.308	295.331		
124	Female	233.657	307.928		
125	Female	282.249	256.889		
126	Female	292.122	275.438		
127	Female	283.916	256.933		
128	Female	238.827	274.033		
129	Female	258.718	248.139		
130	Female	322.839	216.937		
131	Female	232.105	248.535		
132	Female	293.035	259.719		
133	Female	290.677	292.403		
134	Female	312.401	288.540		
135	Female	259.824	258.491		
136	Female	224.902	233.618		
137	Female	290.463	250.374		
138	Female	271.457	302.105		
139	Female	315.101	202.079		
140	Female	241.633	268.071		
141	Female	231.740	242.787		
142	Female	256.507	224.407		
143	Female	231.774	262.964		
144	Female	301.329	252.755		
145	Female	256.880	256.325		
146	Female	312.049	325.966		
147	Female	289.219	260.940		
148	Female	271.116	317.053		
149	Female	275.466	284.184		
150	Female	311.388	258.871		
151	Female	320.502	335.952		
152	Female	291.504	226.738		
153	Female	260.924	284.287		
154	Female	279.596	306.825		
155	Female	309.814	253.520		
156	Female	277.277	253.902		
157	Female	251.157	234.949		
158	Female	304.884	281.623		
159	Female	321.491	255.922		
160	Female	283.053	281.973		
161	Female	327.250	250.062		
162	Female	332.641	296.240		
163	Female	282.520	216.948		
164	Female	262.305	233.765		
165	Female	249.517	286.673		
166	Female	316.867	252.905		
167	Female	287.114	277.008		
168	Female	241.321	243.737		
169	Female	268.665	264.189		
170	Female	258.570	296.609		
171	Female	307.434	276.920		
172	Female	234.481	304.590		
173	Female	265.298	218.831		
174	Female	242.909	221.006		
175	Female	341.135	291.855		
176	Female	286.804	290.746		
177	Female	321.598	258.434		
178	Female	310.095	239.906		
179	Female	303.299	226.158		
180	Female	281.398	283.775		
